epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.038,1.74247,2.30221,1.46411,0.43596,0.41086,0.3618,0.15044,1.6125,15.363,1.25586,0.000555037,0.000555037,0.000555037
2,572.569,1.74513,1.85761,1.45945,0.48826,0.43966,0.41051,0.17684,1.57113,6.35544,1.23061,0.000890785,0.000890785,0.000890785
3,824.364,1.69688,1.73244,1.4233,0.50786,0.44059,0.43497,0.20434,1.50714,2.98598,1.17503,0.00100649,0.00100649,0.00100649
4,1077.96,1.62444,1.61162,1.37132,0.58818,0.52445,0.54159,0.26983,1.41375,3.60208,1.14788,0.000676802,0.000676802,0.000676802
5,1332.32,1.5436,1.46366,1.32726,0.65289,0.55909,0.60811,0.32305,1.30245,3.05768,1.06604,0.000346736,0.000346736,0.000346736
