video_id,video_name,camera_name,window_start_sec,window_end_sec,representative_frame_id,representative_frame_name,representative_frame_path,max_confidence,avg_confidence,object_count,fire_smoke_ratio,bbox_area_ratio,detection_density_5s,detection_density_10s,avg_confidence_5s,consecutive_fire_ratio,bbox_area_growth,brightness,blur_score,motion_level,transmission_decision
1,cam01_car_fire.mp4,cam01,0,5,146,cam01_frame_146.jpg,video_pipeline/output/saved_frames/cam01_frame_146.jpg,0.957943,0.5040238553211889,4.711409395973154,0.7008547008547008,0.7282234004318576,4.68,2.34,0.5040238553211889,0.9933333333333332,0.1172372240117181,118.25046375838926,309.1475436241611,15.139261879194631,SEND_FULL
1,cam01_car_fire.mp4,cam01,1,6,146,cam01_frame_146.jpg,video_pipeline/output/saved_frames/cam01_frame_146.jpg,0.957943,0.5264087398809523,4.3133333333333335,0.6939721792890263,0.7026884390863716,4.3133333333333335,2.55,0.5264087398809523,1.0,-0.4332848912410316,119.29466666666664,309.77675333333326,14.172786266666668,SEND_FULL
1,cam01_car_fire.mp4,cam01,2,7,202,cam01_frame_202.jpg,video_pipeline/output/saved_frames/cam01_frame_202.jpg,0.975177,0.5430216346746032,4.306666666666667,0.7739938080495357,0.7026884390863716,4.306666666666667,3.083333333333333,0.5430216346746032,1.0,0.1305690911484926,121.70868666666668,327.49914666666666,16.139979333333333,SEND_FULL
1,cam01_car_fire.mp4,cam01,3,8,202,cam01_frame_202.jpg,video_pipeline/output/saved_frames/cam01_frame_202.jpg,0.975177,0.5434543954665706,4.793333333333333,0.799721835883171,0.7840260652994792,4.793333333333333,3.81,0.5434543954665706,1.0,0.323904555803799,121.04301999999998,359.17137999999994,17.321969866666667,SEND_FULL
1,cam01_car_fire.mp4,cam01,4,9,202,cam01_frame_202.jpg,video_pipeline/output/saved_frames/cam01_frame_202.jpg,0.975177,0.5645470297284753,5.666666666666667,0.8411764705882353,0.7840260652994792,5.666666666666667,4.63,0.5645470297284753,1.0,1.0397674874463514,119.74268,393.6482133333333,17.4458702,SEND_FULL
2,cam02_fire_test.mp4,cam02,0,5,318,cam02_frame_24.jpg,video_pipeline/output/saved_frames/cam02_frame_24.jpg,0.822793,0.4454967296207521,5.23489932885906,0.4615384615384615,0.2524985681152344,5.2,2.6,0.4454967296207521,0.9933333333333332,0.0045324465016634,117.58081879194631,713.1713288590605,4.187176778523489,SEND_METADATA
2,cam02_fire_test.mp4,cam02,1,6,324,cam02_frame_30.jpg,video_pipeline/output/saved_frames/cam02_frame_30.jpg,0.755326,0.4421537246507936,5.226666666666667,0.4732142857142857,0.2573238822569444,5.226666666666667,3.236666666666667,0.4421537246507936,1.0,0.0638500223654183,117.31597999999998,681.33346,3.1330132,SEND_METADATA
2,cam02_fire_test.mp4,cam02,2,7,476,cam02_frame_182.jpg,video_pipeline/output/saved_frames/cam02_frame_182.jpg,0.802716,0.4360601983809524,5.033333333333333,0.528476821192053,0.2614025070746528,5.033333333333333,3.78,0.4360601983809524,1.0,0.2533002688252492,116.64334666666667,693.82772,2.9834660666666664,SEND_METADATA
2,cam02_fire_test.mp4,cam02,3,8,476,cam02_frame_182.jpg,video_pipeline/output/saved_frames/cam02_frame_182.jpg,0.802716,0.420167170531746,5.36,0.4987562189054726,0.2670518670909289,5.36,4.37,0.420167170531746,1.0,0.1532571434818632,115.36187333333332,687.9206933333334,3.0141017333333338,SEND_METADATA
2,cam02_fire_test.mp4,cam02,4,9,476,cam02_frame_182.jpg,video_pipeline/output/saved_frames/cam02_frame_182.jpg,0.802716,0.4126725038571429,5.573333333333333,0.492822966507177,0.2670518670909289,5.573333333333333,4.913333333333333,0.4126725038571429,1.0,-0.0370965809153126,114.40984666666668,670.2735333333334,3.2249414666666665,SEND_METADATA
2,cam02_fire_test.mp4,cam02,5,10,476,cam02_frame_182.jpg,video_pipeline/output/saved_frames/cam02_frame_182.jpg,0.802716,0.4144307540952381,5.6066666666666665,0.4863258026159334,0.2670518670909289,5.6066666666666665,5.403333333333333,0.4144307540952381,1.0,1.154157194508567,113.77710666666664,661.0141666666667,3.5286872,SEND_METADATA
3,cam03_smoke.mp4,cam03,0,5,652,cam03_frame_46.jpg,video_pipeline/output/saved_frames/cam03_frame_46.jpg,0.607523,0.3599573174496644,2.577181208053691,1.0,0.7067230310719166,2.5625625625625625,1.2812812812812813,0.3599573174496644,0.9943276609943276,-0.0051607818630825,120.23427516778524,905.2581946308726,8.04708644295302,DROP
3,cam03_smoke.mp4,cam03,1,6,652,cam03_frame_46.jpg,video_pipeline/output/saved_frames/cam03_frame_46.jpg,0.607523,0.3519210836689038,2.684563758389262,1.0,0.7067230310719166,2.669336002669336,1.5815815815815817,0.3519210836689038,0.9943276609943276,-0.076465843655776,121.74344295302014,936.026120805369,9.463092013422818,DROP
3,cam03_smoke.mp4,cam03,2,7,671,cam03_frame_65.jpg,video_pipeline/output/saved_frames/cam03_frame_65.jpg,0.529478,0.3500288800894854,2.577181208053691,1.0,0.7067230310719166,2.5625625625625625,1.7217217217217218,0.3500288800894854,0.9943276609943276,-0.1249877448948906,122.34740939597316,958.6014228187915,9.294577785234898,DROP
3,cam03_smoke.mp4,cam03,3,8,843,cam03_frame_238.jpg,video_pipeline/output/saved_frames/cam03_frame_238.jpg,0.533517,0.35082942147651,2.355704697986577,1.0,0.6938984498438721,2.3423423423423424,1.9552886219552887,0.35082942147651,0.9943276609943276,-0.1928301184220876,123.23873825503355,996.1832080536914,9.861440268456375,DROP
3,cam03_smoke.mp4,cam03,4,9,868,cam03_frame_263.jpg,video_pipeline/output/saved_frames/cam03_frame_263.jpg,0.557175,0.3659043937360179,2.046979865771812,1.0,0.58531012456089,2.035368702035369,2.158825492158825,0.3659043937360179,0.9943276609943276,0.1558694875924986,124.29775838926176,1023.8465167785234,10.368307046979869,DROP
