epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6799.51,1.73923,2.01291,1.49116,0.43973,0.4009,0.36052,0.14923,1.60456,6.71496,1.30639,0.000555037,0.000555037,0.000555037
2,7045.33,1.74678,1.80108,1.48744,0.52043,0.44886,0.4322,0.18747,1.54871,4.97535,1.2359,0.000890785,0.000890785,0.000890785
3,7286.36,1.6893,1.68495,1.44645,0.55267,0.50845,0.5081,0.24878,1.42768,3.73737,1.14357,0.00100649,0.00100649,0.00100649
4,7526.58,1.58865,1.52607,1.37704,0.6248,0.54563,0.57988,0.28763,1.39708,2.22403,1.12615,0.000676802,0.000676802,0.000676802
5,7763.35,1.5101,1.38352,1.33275,0.64758,0.59128,0.63623,0.34463,1.27302,2.04054,1.04512,0.000346736,0.000346736,0.000346736
